No.	prop	genetree
58	0.0101333	((halLeu:0.0718926,nipNip:0.0699234):0.111822,(galGal:0.212579,((strCam:0.0523831,((aptHaa:0.0254008,(aptOwe:0.00905857,aptRow:0.00847887):0.016589):0.0176318,(rheAme:0.0115548,rhePen:0.0121946):0.0577646):0.00674068):0.00194917,((casCas:0.0152456,droNov:0.0174327):0.0367395,(anoDid:0.0663693,(cryCin:0.111046,(tinGut:0.0709491,(eudEle:0.0777098,notPer:0.0852676):0.0106722):0.03186):0.0375596):0.0166084):0.00647337):0.0435919):0.0418991);
58	0.01	((galGal:0.197495,(halLeu:0.0625471,nipNip:0.060578):0.0641854):0.0233254,((strCam:0.053469,((aptHaa:0.0219153,(aptOwe:0.00848609,aptRow:0.00790639):0.0136761):0.0226735,(rheAme:0.012862,rhePen:0.0135018):0.0580136):0.00627042):0.00322252,((casCas:0.0140928,droNov:0.0162799):0.0376857,(anoDid:0.0633751,(cryCin:0.0948271,(tinGut:0.0650689,(eudEle:0.0731493,notPer:0.0807071):0.00935245):0.0215212):0.0507845):0.019396):0.00903929):0.0494746);
58	0.00906667	((halLeu:0.0791174,nipNip:0.0771482):0.0979043,(galGal:0.212758,((strCam:0.0539112,((aptHaa:0.0230528,(aptOwe:0.00705744,aptRow:0.00647774):0.0162422):0.0219576,(casCas:0.0151228,droNov:0.0173099):0.0366236):0.00629105):0.00465917,((rheAme:0.0139892,rhePen:0.0146291):0.0614088,(anoDid:0.0609093,(cryCin:0.100233,(tinGut:0.0748956,(eudEle:0.0738778,notPer:0.0814356):0.0184507):0.0171003):0.0429129):0.0259305):0.0068494):0.039533):0.0350265);
0	0.0152	((galGal:0.178217,(halLeu:0.0684095,nipNip:0.0664404):0.0390448):0.049829,((strCam:0.0522051,(aptHaa:0.00967723,(aptOwe:0.00814913,aptRow:0.00756943):0.00177495):0.039918):0.00953895,((casCas:0.0360534,droNov:0.0382405):0.0222523,((rheAme:0.0112988,rhePen:0.0119387):0.0595979,(anoDid:0.0577324,((cryCin:0.0552327,tinGut:0.0469957):0.0360076,(eudEle:0.0782569,notPer:0.0858147):0.0221792):0.0487287):0.0246061):0.00695985):0.00756445):0.0516476);
0	0.0136	((galGal:0.180318,(halLeu:0.0631849,nipNip:0.0612157):0.0463707):0.0590059,((strCam:0.0533552,(aptRow:0.00811371,(aptHaa:0.00450684,aptOwe:0.00475369):0.00393973):0.0422988):0.00609609,(((casCas:0.0295834,droNov:0.0317705):0.0183971,(rheAme:0.010824,rhePen:0.0114639):0.0567072):0.0078838,(anoDid:0.0593246,((cryCin:0.0540093,tinGut:0.0457723):0.0405224,(eudEle:0.075159,notPer:0.0827168):0.0285686):0.0470293):0.0275323):0.00771324):0.0652186);
0	0.0132	((galGal:0.187464,(halLeu:0.068119,nipNip:0.0661499):0.0485822):0.0558963,(strCam:0.0572775,((((aptRow:0.00627503,(aptHaa:0.00413023,aptOwe:0.00437708):0.00247765):0.0320766,(rheAme:0.0113461,rhePen:0.011986):0.0536252):0.00673525,(anoDid:0.0581774,((cryCin:0.0648239,tinGut:0.0565869):0.0384687,(eudEle:0.0820874,notPer:0.0896452):0.030401):0.0371214):0.024971):0.00514253,(casCas:0.037706,droNov:0.0398931):0.0195923):0.00410543):0.0714282);
0	0.0114667	((galGal:0.18186,(halLeu:0.0733285,nipNip:0.0713594):0.0377682):0.0564498,((strCam:0.0543388,((aptRow:0.00883522,(aptHaa:0.00563158,aptOwe:0.00587843):0.00353649):0.0376903,(rheAme:0.0118038,rhePen:0.0124437):0.0613414):0.00487055):0.0028591,((casCas:0.0335391,droNov:0.0357262):0.0184391,(anoDid:0.0573114,((cryCin:0.0587721,tinGut:0.0505351):0.0376785,(eudEle:0.0804485,notPer:0.0880063):0.025198):0.0430973):0.0256595):0.00934583):0.066457);
0	0.0105333	((galGal:0.179876,(halLeu:0.0732665,nipNip:0.0712974):0.0358467):0.0413293,(((strCam:0.0518372,(aptRow:0.00636631,(aptHaa:0.00335171,aptOwe:0.00359856):0.00334745):0.0425282):0.00213751,((casCas:0.0286879,droNov:0.030875):0.0233424,(anoDid:0.0548889,((cryCin:0.0569565,tinGut:0.0487195):0.0432805,(eudEle:0.086532,notPer:0.0940898):0.0229008):0.0368884):0.028134):0.00607055):0.0062478,(rheAme:0.00779841,rhePen:0.00843827):0.076101):0.0463283);
35	0.0113333	((halLeu:0.0741623,nipNip:0.0721932):0.090795,(galGal:0.211678,((strCam:0.052719,(((aptRow:0.0047384,(aptHaa:0.00317441,aptOwe:0.00342126):0.00189684):0.0316292,(casCas:0.0298517,droNov:0.0320388):0.0135847):0.00499329,((cryCin:0.059728,tinGut:0.051491):0.0307427,(eudEle:0.0787959,notPer:0.0863537):0.0208707):0.0711882):0.00841545):0.00913966,(anoDid:0.0849928,(rheAme:0.0175868,rhePen:0.0182266):0.0559642):0.0119847):0.0351648):0.0240422);
35	0.0110667	((galGal:0.186914,(halLeu:0.0696943,nipNip:0.0677251):0.0464568):0.0323043,((((aptRow:0.00611994,(aptHaa:0.00299568,aptOwe:0.00324253):0.00345711):0.0329298,(casCas:0.0275948,droNov:0.0297819):0.0185238):0.00682145,((cryCin:0.0587205,tinGut:0.0504835):0.0285196,(eudEle:0.0806889,notPer:0.0882467):0.0157472):0.078929):0.0070637,(strCam:0.0534993,(anoDid:0.0776499,(rheAme:0.0167431,rhePen:0.017383):0.049465):0.0109681):0.00237828):0.0486861);
