No.	ID	loglik_Null	loglik_Acc	loglik_Full	logBF1	logBF2	loglik_Max_M0	loglik_Max_M1	loglik_Max_M2
6	241	-228.06658	-228.54439	-228.98376	-0.47780727	0.43936957	-224.83859	-222.61771	-222.62089
6	242	-292.56811	-292.20687	-292.9474	0.36123637	0.7405284	-289.82414	-286.52369	-286.52257
6	243	-565.13358	-553.71386	-550.98431	11.419718	-2.7295483	-548.908	-530.29989	-527.44456
6	244	-472.57194	-468.23848	-469.32562	4.3334604	1.0871399	-466.49625	-460.38418	-460.54749
6	245	-305.70746	-305.90685	-305.92299	-0.19939433	0.016141074	-302.88504	-300.10688	-297.31261
6	246	-404.13357	-402.89119	-401.6501	1.2423711	-1.2410904	-401.74796	-396.65956	-388.70402
6	247	-301.12905	-301.02985	-300.39208	0.099199323	-0.63777434	-294.55325	-291.5686	-286.06745
6	248	-468.03824	-458.87827	-449.7751	9.1599772	-9.1031694	-453.81399	-440.83133	-433.79082
6	249	-278.33857	-278.93832	-279.22026	-0.59974588	0.28194789	-274.09999	-274.52317	-274.28203
6	250	-346.92308	-347.28993	-343.81667	-0.36684247	-3.4732538	-344.39491	-342.1697	-332.37302
6	251	-339.10329	-338.46561	-339.04	0.6376875	0.57438955	-335.95285	-330.26828	-329.85703
6	252	-277.54027	-278.06374	-278.62413	-0.52347614	0.56038719	-274.67393	-273.7325	-273.61055
6	253	-337.62572	-335.78298	-336.73869	1.842743	0.95571331	-335.09276	-327.14279	-327.00536
6	254	-453.26801	-453.32594	-453.40037	-0.057925691	0.074436161	-447.7818	-443.9118	-439.76564
6	255	-465.31348	-464.23081	-464.46538	1.082671	0.23456773	-461.38434	-456.54804	-453.73885
6	256	-375.20675	-369.4999	-366.45565	5.7068504	-3.0442477	-370.83982	-359.17256	-351.56022
6	257	-434.25727	-434.35233	-435.85634	-0.095063985	1.5040074	-423.10396	-420.21845	-420.01805
6	258	-245.49686	-245.17729	-245.94465	0.31956918	0.7673593	-242.50097	-237.04783	-237.02517
6	259	-255.41776	-255.78531	-256.2388	-0.36755693	0.45348903	-252.44735	-249.03293	-249.05767
6	260	-289.87092	-290.36804	-289.83847	-0.49712644	-0.52956966	-287.0326	-286.28889	-280.18322
6	261	-323.1669	-322.29093	-323.28791	0.8759749	0.99698228	-320.48358	-313.80451	-313.80637
6	262	-233.6969	-234.31453	-234.54024	-0.61762995	0.22570506	-230.5389	-227.11503	-227.10176
6	263	-364.16359	-363.33155	-364.2703	0.8320354	0.93875147	-361.7235	-354.34096	-354.62156
6	264	-546.91365	-531.00759	-527.48209	15.906059	-3.5254955	-532.85445	-513.80808	-509.45543
6	265	-280.63984	-280.50984	-281.03166	0.12999358	0.52181776	-277.74913	-273.97521	-272.77874
6	266	-330.3552	-328.85473	-329.61475	1.5004647	0.76001364	-327.71265	-321.16264	-319.99234
6	267	-321.77473	-315.87397	-317.24249	5.900757	1.3685185	-309.35076	-302.98136	-302.93189
6	268	-380.66048	-380.23078	-379.69011	0.42969385	-0.54066775	-376.93288	-373.27814	-363.95116
6	269	-315.43518	-311.36423	-312.40055	4.0709491	1.0363209	-308.81957	-302.34636	-302.34617
6	270	-273.43963	-273.5016	-274.06315	-0.061972001	0.5615505	-270.49657	-267.26541	-266.65949
6	271	-444.74599	-442.83451	-443.1954	1.911473	0.36088335	-440.6659	-433.68175	-431.04293
6	272	-585.83158	-582.57442	-578.01481	3.2571639	-4.5596042	-571.56198	-562.36407	-560.64278
6	273	-381.53318	-378.95056	-374.43099	2.5826175	-4.5195723	-373.07763	-371.51835	-360.95593
6	274	-264.48946	-265.18067	-265.64742	-0.69120588	0.46675489	-259.29832	-259.72026	-259.7997
6	275	-395.61918	-391.63286	-392.30124	3.9863212	0.66838432	-387.57031	-379.38241	-379.37778
6	276	-366.79804	-366.09533	-366.79428	0.70270651	0.69895313	-364.27905	-358.6964	-355.82897
6	277	-370.20255	-366.31578	-366.91953	3.886766	0.60374683	-360.17131	-355.64982	-355.54691
