No.	prop	genetree
58	0.0393333	((halLeu:0.0587936,nipNip:0.0568244):0.0812514,(galGal:0.208813,(strCam:0.0818677,((((anoDid:0.0908804,(aptHaa:0.0490558,(rheAme:0.0581155,rhePen:0.0587554):0.0172271):0.00409592):0.00259633,(casCas:0.0563286,droNov:0.0585157):0.00615548):0.000988933,(eudEle:0.142567,(notPer:0.126335,(cryCin:0.0874627,tinGut:0.0792257):0.022119):0.0237899):0.0433306):0.0152345,(aptOwe:0.0421829,aptRow:0.0416032):0.0300355):0.00728642):0.0122904):0.00199517);
58	0.0273333	((halLeu:0.0770381,nipNip:0.075069):0.0630069,(galGal:0.209761,(strCam:0.0872136,((((aptHaa:0.0382599,(rheAme:0.0467826,rhePen:0.0474225):0.0177641):0.0109559,(casCas:0.0358019,droNov:0.037989):0.02015):0.00610991,(anoDid:0.0896299,(eudEle:0.166702,(tinGut:0.124994,(cryCin:0.116781,notPer:0.133535):0.0164499):0.0242752):0.01436):0.00342448):0.0212025,(aptOwe:0.045681,aptRow:0.0451013):0.0310941):0.0080756):0.00789314):0.00104657);
58	0.0226667	((halLeu:0.0600012,nipNip:0.058032):0.0800438,(galGal:0.207422,((strCam:0.0628958,((aptHaa:0.0418111,(rheAme:0.05797,rhePen:0.0586099):0.0101279):0.0141434,((casCas:0.0571724,droNov:0.0593595):0.00548448,((notPer:0.0918446,(cryCin:0.0567152,tinGut:0.0484782):0.0183757):0.0967896,(eudEle:0.176201,anoDid:0.0847688):0.00487519):0.0040055):3.36543e-05):0.00433143):0.00364585,(aptOwe:0.0293803,aptRow:0.0288006):0.0347984):0.0262254):0.00338626);
58	0.0193333	(galGal:0.210808,((halLeu:0.0600012,nipNip:0.058032):0.0781128,(((strCam:0.0551817,(anoDid:0.0884501,((aptHaa:0.0426459,(rheAme:0.050456,rhePen:0.0510959):0.0184767):0.00450546,(eudEle:0.138123,(notPer:0.0965965,(cryCin:0.0483923,tinGut:0.0401553):0.0314505):0.0490842):0.0381895):0.00357008):0.0018504):0.00401262,(aptOwe:0.0236389,aptRow:0.0230592):0.0331924):0.0100053,(casCas:0.0620617,droNov:0.0642488):0.011264):0.0250227):0.001931);
43	0.0173333	((galGal:0.195142,(halLeu:0.089458,nipNip:0.0874889):0.0349209):0.0156661,((rhePen:0.0806489,(aptHaa:0.00653295,aptOwe:0.0067798):0.0471893):0.0212334,((aptRow:0.0358892,(casCas:0.0189287,droNov:0.0211158):0.0240293):0.014841,((rheAme:0.0633743,(anoDid:0.0557694,(tinGut:0.0743164,eudEle:0.0917493):0.0554526):0.0190467):0.0131398,(strCam:0.052638,(cryCin:0.134597,notPer:0.151351):0.0353958):0.000199104):0.000835845):0.0238926):0.0185878);
43	0.0166667	((halLeu:0.137072,(nipNip:0.0989507,galGal:0.171683):0.0361522):0.00297296,((rhePen:0.087189,(aptHaa:0.0158557,aptOwe:0.0161026):0.0444066):0.011638,(((aptRow:0.0438211,(rheAme:0.0633743,(anoDid:0.0571617,(tinGut:0.0768395,eudEle:0.0942724):0.0543216):0.0176544):0.00706648):0.00472031,(casCas:0.03145,droNov:0.0336371):0.0241603):0.0021888,(strCam:0.0523669,(cryCin:0.134597,notPer:0.151351):0.0351248):0.00130597):0.0208373):0.0216431);
43	0.016	((galGal:0.192647,(halLeu:0.100312,nipNip:0.0983427):0.0215727):0.0181605,(rhePen:0.113058,((aptHaa:0.00360784,aptOwe:0.00385469):0.0615635,((aptRow:0.0530927,(strCam:0.052716,((casCas:0.017285,droNov:0.0194721):0.0387431,(cryCin:0.150616,notPer:0.16737):0.0186409):0.000814093):0.00331938):0.0051014,(rheAme:0.0769921,(anoDid:0.0634997,(tinGut:0.0729376,eudEle:0.0903705):0.0645616):0.0249343):0.00782169):0.00664434):0.0209601):0.0074121);
43	0.0153333	((galGal:0.189796,(halLeu:0.080161,nipNip:0.0781919):0.038872):0.021012,((rhePen:0.0833286,(aptHaa:0.011397,aptOwe:0.0116439):0.0450049):0.0168886,((aptRow:0.0438461,(casCas:0.0253148,droNov:0.0275019):0.0256002):0.00688411,(strCam:0.052453,((rheAme:0.0633743,(anoDid:0.0561284,(tinGut:0.0842244,eudEle:0.101657):0.0459035):0.0186877):0.00731428,(cryCin:0.134597,notPer:0.151351):0.0297694):0.00544142):0.0012199):0.0222274):0.020253);
43	0.0153333	(galGal:0.210808,((halLeu:0.0911481,nipNip:0.089179):0.0455792,((rhePen:0.0728721,(aptHaa:0.0108561,aptOwe:0.0111029):0.0350894):0.0181651,(strCam:0.0555847,((aptRow:0.0470931,(rheAme:0.068999,(anoDid:0.0699477,(tinGut:0.104939,eudEle:0.122372):0.0390085):0.0104931):0.00471373):0.00392927,((casCas:0.0284462,droNov:0.0306333):0.0287749,(cryCin:0.0746731,notPer:0.0914268):0.0957771):0.000870125):0.00161967):0.0111357):0.0261152):0.00331771);
34	0.0286667	((galGal:0.178078,(halLeu:0.0999941,nipNip:0.098025):0.00732071):0.0327302,(anoDid:0.108484,(((aptHaa:0.0194305,aptRow:0.0190977):0.0335177,((rheAme:0.0669805,(rhePen:0.063362,(casCas:0.0346048,droNov:0.0367919):0.00856653):0.00425834):0.00211708,((cryCin:0.0829978,notPer:0.0997515):0.0403145,(tinGut:0.0757629,eudEle:0.0931958):0.0393124):0.0394636):0.0101374):0.0083579,(aptOwe:0.0566104,strCam:0.0589734):0.00494259):0.00944942):0.0227879);
