No.	ID	loglik_Null	loglik_Acc	loglik_Full	logBF1	logBF2
2	278	-388.86124	-388.70464	-385.7898	0.15660163	-2.9148352
2	279	-330.11197	-328.46547	-329.22864	1.6464987	0.76316781
2	280	-287.08931	-287.27814	-287.67072	-0.18882803	0.39257624
2	281	-466.93204	-465.61162	-465.47432	1.3204171	-0.13730333
2	282	-271.62383	-271.70035	-272.61732	-0.07651425	0.91697755
2	283	-366.43013	-366.42752	-366.35317	0.0026106501	-0.074356339
2	284	-227.05675	-227.32178	-228.0535	-0.26502856	0.73171511
2	285	-412.81653	-412.33396	-412.47645	0.48257607	0.14249246
2	286	-450.52027	-450.60754	-447.60394	-0.087267748	-3.0035972
2	287	-176.72655	-177.32166	-177.80469	-0.59511382	0.48302703
2	288	-391.87011	-392.08584	-389.33469	-0.21572376	-2.7511484
2	289	-308.02059	-308.38319	-309.13401	-0.36260172	0.75082394
2	290	-167.29544	-167.72032	-168.47072	-0.42487493	0.75040768
2	291	-243.00222	-243.08614	-244.06194	-0.08392195	0.97579827
2	292	-415.94999	-414.747	-413.94867	1.2029893	-0.79832846
2	293	-274.42242	-274.47154	-275.35405	-0.049119806	0.88251314
2	294	-253.93973	-253.65146	-254.82472	0.28827192	1.1732618
2	295	-249.90557	-250.51566	-250.54373	-0.61008803	0.028071652
2	296	-470.68635	-470.53531	-469.42965	0.15103469	-1.1056592
2	297	-417.84598	-417.69618	-418.08472	0.14979834	0.38853955
2	298	-327.3373	-326.67908	-327.76843	0.65821612	1.0893424
2	299	-240.82494	-240.78609	-241.53032	0.038851234	0.74422567
2	300	-406.67998	-403.76421	-405.1743	2.9157705	1.4100879
2	301	-273.03924	-269.34332	-271.12766	3.6959168	1.7843365
2	302	-278.9444	-278.84906	-279.46122	0.095336793	0.61216038
2	303	-388.27436	-388.16634	-389.07926	0.10801901	0.91291737
2	304	-340.75043	-340.96626	-340.17315	-0.21582493	-0.79310646
2	305	-296.05923	-296.25511	-296.99386	-0.19587592	0.73874645
2	306	-345.73735	-346.14002	-346.65516	-0.40267336	0.51513837
2	307	-251.7537	-251.63863	-252.40617	0.11507335	0.76753758
2	308	-290.80382	-291.20231	-291.91749	-0.39849	0.71518158
2	309	-285.21801	-284.32923	-285.66893	0.88877575	1.3396967
2	310	-289.74574	-290.14076	-291.37314	-0.39501942	1.2323782
2	311	-284.23602	-283.93815	-284.94098	0.29787076	1.0028257
2	312	-326.46317	-326.67882	-327.05581	-0.21565065	0.37699293
2	313	-423.44994	-420.82712	-421.01328	2.6228241	0.18616209
2	314	-283.49899	-283.55758	-284.52033	-0.058590364	0.96275122
2	315	-282.49822	-282.38687	-283.11286	0.11135264	0.72598977
2	316	-241.82644	-242.06916	-242.6011	-0.24272124	0.53193481
2	317	-245.55816	-245.83197	-246.61178	-0.27380503	0.77981275
2	318	-346.50153	-346.95787	-347.67258	-0.45633659	0.71470905
2	319	-244.5676	-244.69395	-245.54243	-0.12634747	0.84848154
2	320	-276.11084	-276.56047	-277.05546	-0.44962469	0.49498686
2	321	-505.2807	-500.94098	-492.97081	4.3397109	-7.9701739
2	322	-194.21649	-194.73774	-195.67138	-0.52125105	0.93363201
2	323	-209.30274	-208.39509	-209.65297	0.90764898	1.2578848
2	324	-300.47608	-300.61376	-298.35225	-0.137674	-2.2615019
2	325	-196.94158	-197.64547	-198.02489	-0.70388973	0.37942553
2	326	-463.29012	-463.47614	-462.51613	-0.18601964	-0.96001137
2	327	-303.28431	-303.53721	-304.01364	-0.25290204	0.47643089
2	328	-489.42695	-487.58137	-484.05554	1.8455852	-3.5258285
2	329	-286.23462	-286.50545	-286.94079	-0.27083414	0.43533674
2	330	-284.2919	-283.15815	-284.11269	1.1337444	0.95453796
2	331	-248.67482	-248.5859	-249.41232	0.088919211	0.82642379
2	332	-411.58496	-411.73833	-411.62247	-0.15336667	-0.11585453
2	333	-210.04364	-210.6221	-211.03622	-0.57845677	0.41411875
2	334	-344.04287	-344.33974	-344.36007	-0.29687194	0.020326121
2	335	-297.98791	-297.56896	-298.55428	0.4189472	0.98531441
2	336	-333.94391	-333.60652	-334.68692	0.33739322	1.0804018
2	337	-242.96709	-238.21151	-239.82996	4.7555777	1.6184494
2	338	-247.44749	-247.75605	-248.39424	-0.30855899	0.63818665
2	339	-335.80685	-333.85246	-335.28425	1.9543949	1.4317914
2	340	-377.54872	-377.37298	-377.46591	0.1757413	0.092928268
2	341	-211.76628	-212.12707	-212.87048	-0.36079631	0.74340446
2	342	-241.72276	-242.17178	-242.45901	-0.44902753	0.28722735
2	343	-244.08789	-239.69165	-241.69982	4.3962372	2.0081729
2	344	-300.20999	-300.35834	-301.15746	-0.1483536	0.79912027
2	345	-271.48194	-271.62577	-272.34967	-0.14383084	0.72390259
2	346	-239.24756	-239.49142	-240.25044	-0.2438572	0.75901963
2	347	-333.32221	-330.78407	-332.46208	2.5381393	1.6780093
2	348	-337.98654	-334.59956	-336.17357	3.3869731	1.5740018
2	349	-288.71987	-289.16696	-289.85214	-0.44708843	0.68518153
2	350	-306.55198	-304.40813	-306.06235	2.1438478	1.6542153
2	351	-393.89406	-394.1679	-394.35695	-0.27383969	0.18905205
2	352	-297.97769	-297.95918	-298.56503	0.018512795	0.60585884
2	353	-418.31818	-413.6252	-415.41879	4.6929781	1.7935898
2	354	-267.72979	-266.073	-267.51259	1.6567995	1.4395923
2	355	-227.13874	-227.6292	-228.34947	-0.49045678	0.72026982
2	356	-234.12051	-234.8079	-235.1736	-0.6873905	0.36569753
2	357	-209.10165	-209.35368	-210.42771	-0.25203205	1.0740244
2	358	-359.54842	-358.62561	-359.66171	0.9228021	1.0360907
2	359	-315.92865	-315.80406	-316.54547	0.12459465	0.7414128
2	360	-230.86235	-231.30224	-231.79693	-0.43989037	0.49469881
2	361	-290.34827	-290.57902	-290.52314	-0.23074575	-0.055880532
2	362	-289.32893	-289.2513	-290.21492	0.07763682	0.96362211
2	363	-221.89834	-221.97818	-222.77094	-0.079838112	0.79276149
2	364	-232.99992	-232.76572	-233.74831	0.23419767	0.98259347
2	365	-273.45652	-273.81928	-274.53472	-0.36276232	0.71543699
2	366	-279.4892	-279.44319	-280.2303	0.046014461	0.78710903
2	367	-282.36974	-282.75716	-283.52477	-0.38742344	0.76760819
2	368	-324.116	-323.79489	-324.77543	0.3211098	0.98053555
2	369	-327.74172	-326.88889	-327.39247	0.8528318	0.50357872
2	370	-296.43662	-296.8692	-297.6256	-0.43257771	0.75640271
2	371	-299.042	-299.38538	-300.27728	-0.34338256	0.89189804
2	372	-416.45506	-416.31147	-417.219	0.14359094	0.90752615
2	373	-364.76213	-364.83609	-365.66439	-0.073960749	0.82830059
2	374	-291.25844	-291.71248	-288.44847	-0.45403471	-3.2640113
2	375	-396.63641	-396.97648	-394.61643	-0.34007223	-2.3600539
2	376	-425.50981	-425.47694	-426.35811	0.032872278	0.88117075
2	377	-235.24138	-235.77802	-236.53398	-0.53664157	0.75596497
2	378	-368.76764	-367.94071	-368.61852	0.82693919	0.6778161
2	379	-224.78688	-220.97684	-223.54042	3.8100412	2.5635887
2	380	-346.81769	-346.74624	-346.37573	0.071442898	-0.37050895
2	381	-401.90445	-401.52359	-401.44996	0.38086016	-0.073631455
2	382	-279.98923	-279.84274	-280.28904	0.14648954	0.44629277
2	383	-197.60713	-198.03897	-198.71633	-0.43183777	0.67735686
2	384	-181.00413	-181.51113	-182.68744	-0.50699445	1.1763077
2	385	-270.62506	-271.03362	-271.46136	-0.40855755	0.4277488
2	386	-266.91071	-267.27191	-268.08679	-0.36120309	0.81487607
2	387	-211.6983	-212.69086	-212.7204	-0.99256196	0.029536286
2	388	-384.15554	-384.33939	-384.99305	-0.18384687	0.65366764
2	389	-330.2196	-330.24366	-326.72534	-0.024063793	-3.5183264
2	390	-332.54701	-332.07466	-332.91739	0.47235161	0.84273269
2	391	-451.11458	-450.68647	-449.06689	0.42811185	-1.6195811
2	392	-350.14404	-346.44468	-348.48767	3.6993668	2.0429942
2	393	-198.1086	-197.84531	-198.7272	0.26328791	0.88188728
2	394	-324.95892	-324.3115	-324.84874	0.64741579	0.53723893
2	395	-289.9697	-287.44196	-289.25956	2.5277457	1.8175992
2	396	-242.88725	-242.88697	-243.97304	0.00027803591	1.0860673
2	397	-335.8003	-332.61636	-334.97379	3.1839364	2.3574222
2	398	-297.03002	-297.30205	-296.88855	-0.27203583	-0.41350832
2	399	-355.68709	-356.05742	-356.04349	-0.37032993	-0.013931043
2	400	-290.67029	-290.47235	-291.62939	0.19794275	1.1570477
2	401	-241.75398	-240.63959	-242.09397	1.1143888	1.4543735
2	402	-278.16217	-278.61141	-278.67232	-0.44923496	0.060910636
2	403	-320.82474	-320.15278	-321.29789	0.67195459	1.1451053
2	404	-425.61806	-422.96729	-423.69033	2.6507775	0.72304732
2	405	-565.09711	-564.78268	-555.26813	0.3144256	-9.5145531
2	406	-342.18398	-341.86689	-342.09232	0.31708139	0.22542433
2	407	-341.48169	-341.7675	-339.53633	-0.28581794	-2.2311783
2	408	-351.98316	-352.15431	-352.78617	-0.17115046	0.63185828
2	409	-280.82882	-281.17561	-281.09217	-0.34678433	-0.083443419
2	410	-311.79051	-312.1433	-313.0216	-0.35279899	0.87829188
2	411	-270.40039	-270.72991	-271.49747	-0.32951276	0.76756777
2	412	-438.89752	-438.74517	-436.75765	0.15234941	-1.9875282
2	413	-398.51123	-394.81272	-394.97348	3.6985194	0.16076479
2	414	-275.31445	-271.64088	-273.17967	3.6735643	1.5387865
2	415	-257.15822	-257.35278	-258.17833	-0.194562	0.8255497
2	416	-336.56624	-334.25481	-335.60489	2.311435	1.3500858
2	417	-313.91392	-313.35005	-313.13999	0.56386508	-0.21005743
2	418	-341.16381	-341.30413	-339.13883	-0.14032023	-2.1653069
2	419	-302.07252	-302.05195	-302.97878	0.020576171	0.92683012
2	420	-340.69483	-340.46871	-338.96879	0.22612022	-1.4999259
2	421	-309.9558	-310.09734	-310.73898	-0.14154819	0.64163583
2	422	-497.42958	-491.47654	-491.54693	5.9530421	0.070395117
2	423	-265.53633	-265.30579	-266.196	0.23054014	0.89020914
2	424	-244.66685	-244.76101	-245.22569	-0.094159039	0.46468366
2	425	-265.91096	-264.60656	-266.24776	1.3043967	1.6412042
2	426	-346.91002	-346.82881	-344.87309	0.081210718	-1.9557111
2	427	-345.82687	-343.79538	-344.1575	2.0314955	0.36212573
2	428	-455.51895	-453.37786	-454.445	2.1410841	1.0671359
2	429	-201.05864	-200.91243	-201.92809	0.14621949	1.0156692
2	430	-328.11721	-328.42668	-328.42725	-0.30947124	0.00056835628
2	431	-285.38436	-285.87614	-286.634	-0.49177284	0.75786701
2	432	-331.79045	-332.04412	-332.84619	-0.2536719	0.80207494
2	433	-298.33041	-297.37989	-298.49046	0.95051615	1.1105621
2	434	-220.22682	-220.46221	-221.16274	-0.2353876	0.70052792
2	435	-306.05351	-301.6518	-303.24709	4.4017167	1.5952883
2	436	-313.32201	-313.7055	-314.24606	-0.38349025	0.54055881
2	437	-340.56744	-341.06512	-341.69468	-0.49768051	0.62956561
2	438	-253.11041	-252.67431	-253.53636	0.43610721	0.8620561
2	439	-423.4887	-423.27395	-415.94576	0.21475331	-7.3281914
2	440	-341.66446	-342.06218	-342.74679	-0.39772599	0.68460349
2	441	-300.06507	-300.48772	-300.95181	-0.42265145	0.46408818
2	442	-377.72014	-377.63202	-377.47295	0.088122618	-0.15906945
2	443	-341.69111	-339.41614	-333.77482	2.2749699	-5.6413233
2	444	-211.02291	-210.85573	-211.84087	0.16717844	0.9851371
2	445	-296.72169	-296.82414	-296.89796	-0.10245392	0.073815173
2	446	-342.68154	-342.44868	-343.42906	0.23286027	0.98038147
2	447	-296.12149	-296.25941	-297.06885	-0.13791665	0.80943701
2	448	-319.14571	-317.2401	-318.85917	1.9056162	1.6190723
2	449	-382.39981	-382.17252	-381.76272	0.22729485	-0.40979914
2	450	-383.97317	-382.94933	-382.48178	1.0238385	-0.46754198
2	451	-278.54706	-278.46616	-279.45431	0.080899955	0.9881517
2	452	-344.74335	-344.77174	-344.66244	-0.028391976	-0.109295
2	453	-433.79673	-434.15829	-434.09421	-0.36156763	-0.064082807
2	454	-260.72286	-260.60238	-261.30806	0.12047966	0.70567876
2	455	-295.70477	-296.05828	-296.89357	-0.3535133	0.83528631
2	456	-338.31375	-338.64894	-339.36698	-0.33518991	0.71803986
2	457	-217.65304	-217.33847	-218.27739	0.31456214	0.93891451
2	458	-217.77911	-217.80208	-218.9116	-0.022962308	1.1095247
2	459	-344.59443	-344.86639	-345.46392	-0.27196294	0.59752619
2	460	-360.32628	-360.65892	-361.4806	-0.33264249	0.82168222
2	461	-227.73086	-227.46755	-228.35586	0.26331529	0.88831978
2	462	-342.27889	-341.94041	-343.11095	0.33848	1.1705421
2	463	-399.50031	-399.64225	-398.5113	-0.1419412	-1.1309428
2	464	-268.55994	-268.78374	-269.66214	-0.22379222	0.87840213
2	465	-306.45176	-306.84876	-307.2714	-0.39699399	0.42264027
2	466	-434.15242	-434.05086	-434.61001	0.10155872	0.55914646
2	467	-316.05154	-316.02771	-317.07972	0.023833516	1.0520075
2	468	-252.57973	-252.30523	-252.91342	0.27450108	0.60819176
2	469	-378.06774	-378.04982	-374.08114	0.017918255	-3.968683
2	470	-262.94768	-263.2478	-264.05737	-0.30012642	0.80956068
2	471	-225.14085	-225.48708	-226.09736	-0.34622454	0.61028272
2	472	-245.57581	-244.19534	-245.52823	1.3804619	1.3328896
2	473	-323.70116	-323.84489	-324.69814	-0.14372431	0.85325317
2	474	-245.23276	-245.61151	-246.29203	-0.37874606	0.6805213
2	475	-469.42784	-468.91319	-469.39578	0.51464916	0.48259297
2	476	-388.28467	-387.77793	-387.90384	0.50673874	0.12590998
2	477	-382.60938	-383.00348	-383.2271	-0.39409339	0.22361796
2	478	-366.45497	-366.0672	-366.99381	0.38776808	0.92660085
2	479	-243.65756	-244.0074	-244.72728	-0.34983806	0.71988524
2	480	-357.36064	-357.50891	-358.23943	-0.14827765	0.73051803
2	481	-260.79512	-259.50245	-260.82442	1.2926682	1.3219693
2	482	-299.59723	-298.67868	-299.1592	0.91854584	0.48052243
2	483	-345.83784	-345.84682	-347.66888	-0.0089773628	1.8220627
2	484	-290.35217	-290.75953	-291.52122	-0.40736392	0.76168832
2	485	-209.24062	-209.59238	-210.53503	-0.35176131	0.94264404
2	486	-286.15483	-286.30384	-287.13964	-0.14901192	0.83580492
2	487	-232.39943	-232.72948	-233.43106	-0.33004932	0.70158346
2	488	-294.48811	-294.96547	-295.57682	-0.47736169	0.61134515
2	489	-317.49762	-317.69617	-318.43867	-0.19855254	0.74250524
2	490	-304.9475	-302.90501	-304.50648	2.0424891	1.6014679
2	491	-229.47249	-229.28469	-230.47409	0.18780618	1.1894083
2	492	-372.1556	-372.5086	-373.25521	-0.35300712	0.74660611
2	493	-254.00238	-254.60689	-255.3067	-0.60450405	0.69981175
2	494	-262.48141	-261.29152	-262.66558	1.1898997	1.3740658
2	495	-216.35478	-216.71217	-217.71689	-0.35738968	1.004722
2	496	-300.52202	-300.96585	-301.7312	-0.44382686	0.76535361
2	497	-278.78835	-279.19886	-273.59985	-0.41051589	-5.5990099
2	498	-358.78776	-358.74156	-359.61838	0.046201742	0.8768201
2	499	-402.10398	-402.01727	-402.81407	0.086708105	0.7967996
2	500	-328.24797	-328.39519	-328.94557	-0.1472234	0.55037773
2	501	-361.71009	-361.86709	-362.44622	-0.15700472	0.57912688
2	502	-321.06092	-321.26634	-321.71185	-0.20541858	0.44551224
2	503	-314.5724	-314.29662	-315.35196	0.2757755	1.0553363
