"label","genus","species","species.name","s.name","common.name","common.short","genome","node","clade","node.type","branch.length"
"ornAna1","Ornithorhynchus","anatinus","Ornithorhynchus anatinus","O. anatinus","Platypus","Platypus","WUGSC 5.0.1/ornAna1",62,"ornAna1","tip",0.501668
"hg38-ornAna1",NA,NA,NA,NA,NA,NA,NA,63,"ailMel1;bosTau8;calJac3;camFer1;canFam3;capHir1;cavPor3;cerSim1;chiLan1;chlSab2;chrAsi1;conCri1;criGri1;dasNov3;echTel2;eleEdw1;eptFus1;equCab2;eriEur2;felCat8;gorGor3;hetGla2;hg38;jacJac1;lepWed1;loxAfr3;macEug2;macFas5;mesAur1;micOch1;mm10;monDom5;musFur1;myoDav1;myoLuc2;nomLeu3;ochPri3;octDeg1;odoRosDiv1;orcOrc1;ornAna1;oryAfe1;oryCun2;otoGar3;oviAri3;panHod1;panTro4;papAnu2;ponAbe2;pteAle1;pteVam1;rheMac3;rn6;saiBol1;sarHar1;sorAra2;speTri2;susScr3;triMan1;tupChi1;turTru2;vicPac2","ROOT",NA
"hg38-monDom5",NA,NA,NA,NA,NA,NA,NA,64,"ailMel1;bosTau8;calJac3;camFer1;canFam3;capHir1;cavPor3;cerSim1;chiLan1;chlSab2;chrAsi1;conCri1;criGri1;dasNov3;echTel2;eleEdw1;eptFus1;equCab2;eriEur2;felCat8;gorGor3;hetGla2;hg38;jacJac1;lepWed1;loxAfr3;macEug2;macFas5;mesAur1;micOch1;mm10;monDom5;musFur1;myoDav1;myoLuc2;nomLeu3;ochPri3;octDeg1;odoRosDiv1;orcOrc1;oryAfe1;oryCun2;otoGar3;oviAri3;panHod1;panTro4;papAnu2;ponAbe2;pteAle1;pteVam1;rheMac3;rn6;saiBol1;sarHar1;sorAra2;speTri2;susScr3;triMan1;tupChi1;turTru2;vicPac2","internal",0.0768943
"hg38-loxAfr3",NA,NA,NA,NA,NA,NA,NA,65,"ailMel1;bosTau8;calJac3;camFer1;canFam3;capHir1;cavPor3;cerSim1;chiLan1;chlSab2;chrAsi1;conCri1;criGri1;dasNov3;echTel2;eleEdw1;eptFus1;equCab2;eriEur2;felCat8;gorGor3;hetGla2;hg38;jacJac1;lepWed1;loxAfr3;macFas5;mesAur1;micOch1;mm10;musFur1;myoDav1;myoLuc2;nomLeu3;ochPri3;octDeg1;odoRosDiv1;orcOrc1;oryAfe1;oryCun2;otoGar3;oviAri3;panHod1;panTro4;papAnu2;ponAbe2;pteAle1;pteVam1;rheMac3;rn6;saiBol1;sorAra2;speTri2;susScr3;triMan1;tupChi1;turTru2;vicPac2","internal",0.24482
"hg38-susScr3",NA,NA,NA,NA,NA,NA,NA,66,"ailMel1;bosTau8;calJac3;camFer1;canFam3;capHir1;cavPor3;cerSim1;chiLan1;chlSab2;conCri1;criGri1;eptFus1;equCab2;eriEur2;felCat8;gorGor3;hetGla2;hg38;jacJac1;lepWed1;macFas5;mesAur1;micOch1;mm10;musFur1;myoDav1;myoLuc2;nomLeu3;ochPri3;octDeg1;odoRosDiv1;orcOrc1;oryCun2;otoGar3;oviAri3;panHod1;panTro4;papAnu2;ponAbe2;pteAle1;pteVam1;rheMac3;rn6;saiBol1;sorAra2;speTri2;susScr3;tupChi1;turTru2;vicPac2","internal",0.0223121
"hg38-speTri2",NA,NA,NA,NA,NA,NA,NA,67,"calJac3;cavPor3;chiLan1;chlSab2;criGri1;gorGor3;hetGla2;hg38;jacJac1;macFas5;mesAur1;micOch1;mm10;nomLeu3;ochPri3;octDeg1;oryCun2;otoGar3;panTro4;papAnu2;ponAbe2;rheMac3;rn6;saiBol1;speTri2;tupChi1","internal",0.0212441
"hg38-tupChi1",NA,NA,NA,NA,NA,NA,NA,68,"calJac3;chlSab2;gorGor3;hg38;macFas5;nomLeu3;otoGar3;panTro4;papAnu2;ponAbe2;rheMac3;saiBol1;tupChi1","internal",0.00510076
"hg38-otoGar3",NA,NA,NA,NA,NA,NA,NA,69,"calJac3;chlSab2;gorGor3;hg38;macFas5;nomLeu3;otoGar3;panTro4;papAnu2;ponAbe2;rheMac3;saiBol1","internal",0.0175657
"hg38-calJac3",NA,NA,NA,NA,NA,NA,NA,70,"calJac3;chlSab2;gorGor3;hg38;macFas5;nomLeu3;panTro4;papAnu2;ponAbe2;rheMac3;saiBol1","internal",0.0650259
"hg38-rheMac3",NA,NA,NA,NA,NA,NA,NA,71,"chlSab2;gorGor3;hg38;macFas5;nomLeu3;panTro4;papAnu2;ponAbe2;rheMac3","internal",0.0208042
"hg38-nomLeu3",NA,NA,NA,NA,NA,NA,NA,72,"gorGor3;hg38;nomLeu3;panTro4;ponAbe2","internal",0.0110901
"hg38-ponAbe2",NA,NA,NA,NA,NA,NA,NA,73,"gorGor3;hg38;panTro4;ponAbe2","internal",0.00336551
