No.	ID	n_rate	c_rate	aptHaa_3	aptOwe_3	aptRow_3	casCas_3	droNov_3	rheAme_3	rhePen_3	anoDid_3	strCam_3	aptHaa.aptOwe_3	casCas.droNov_3	rheAme.rhePen_3	aptHaa.aptRow_3	aptHaa.casCas_3	aptHaa.rheAme_3
8	3531	1.03704	0.183152	0.9582	0.95725	0.9665	0.29755	0.9716	0.72095	0.89035	1	0.01205	0.94745	0.23075	0.36555	0.9259	0.218	0.16625
8	3536	1.50508	0.179708	0.99615	0.994	0.9832	0.7301	0.7233	0.8721	0.87185	0.86255	0.9248	0.99175	0.64035	0.83225	0.9745	0.622	0.53545
8	3648	4.9563	0.187472	0.021	0.01675	1	1e-04	1e-04	7e-04	0.00295	0	0	1e-04	0	0	0	0	0
8	4230	0.917243	0.199522	0.9858	0.9908	0.98175	0.27975	0.57795	1	1	1	0.00015	0.98205	0.1195	1	0.95785	0.1111	0.0892
9	627	0.95087	0.135674	0.45025	0.582	0.2007	0.04545	0.10275	1	1	0.9938	0.99955	0.24915	0	1	0.02195	0	0
9	908	1.10167	0.135156	0.5859	0.70755	0.3125	0.1546	0.39965	0.95775	0.9579	0.0288	0.0124	0.5072	0.1016	0.9567	0.21515	0.09215	0.0758
9	1015	0.859069	0.0951456	0.1341	0.12205	0.05635	0.99775	0.99695	0.053	0.03845	0	0	0.0245	0.9967	0	0.00485	0.0044	0
9	1321	0.783797	0.116329	0.97815	0.98215	0.9875	0.4995	0.99325	0.4072	0.73815	0.43465	0.00225	0.9753	0.34815	0.2055	0.9744	0.31665	0.1531
9	1332	5.05061	0.125481	0.0072	0.0057	0.01675	0	0	0.00115	1	0	0	0	0	0	0	0	0
9	2227	1.68573	0.246637	0.45035	0.4371	0.2796	0.5598	0.69805	1	1	0.5032	0.9616	0.2067	0.43125	1	0.05625	0.05425	0.0483
9	2419	1.83001	0.0983865	0.2049	0.20375	0.13465	0.0698	0.0695	0.08515	0.08535	0	0	0.0818	0.06855	0.0492	0.0645	0.04315	0
9	3347	1.90114	0.174236	0.17405	0.1696	0.0823	0.01765	0.06585	1	1	0.37	0.0217	0.0382	5e-05	1	5e-05	0	0
9	4800	3.95691	0.146358	0.0516	0.04225	0.00505	0.0132	0.00855	1	1	0.00015	0	5e-04	0	1	0	0	0
9	4891	0.827356	0.106711	0.50825	0.6681	0.4807	0.79485	0.06775	0.7247	0.58055	0.963	1	0.3017	0.0322	0.52535	0.01955	0.00885	0.0069
10	383	4.57229	0.278658	0.0667	0.05965	0.0116	0.00015	0.00135	1	1	0	0	0.00195	0	1	0	0	0
10	511	3.75726	0.221194	0.1445	0.1396	0.06605	0.0151	0.04485	0.97585	0.97585	0.0019	0.0029	0.03385	0.00125	0.97585	0.0035	0.00055	5e-05
10	1862	2.63897	0.157602	0.2384	0.24085	0.13185	0.07325	0.05935	1	1	0.0038	0.06975	0.1072	0.00395	1	0.0066	0.00145	0.00115
10	2290	1.10193	0.200681	0.202	0.18765	0.0832	0.40665	0.01985	1	1	0.78265	0.01135	0.0326	4e-04	1	0	0	0
10	2350	1.0999	0.169321	1	1	1	1	1	0.9622	0.96495	0.9994	0.0246	1	1	0.9562	1	0.97675	0.804
10	4756	1.0689	0.0614561	0.722	0.5358	0.1733	0.04805	0.00655	1	1	0.0398	2e-04	0.4683	0	1	0.01675	0	0
10	4769	0.801668	0.140031	0.8569	0.85475	0.8305	1	1	0.9869	0.987	0.09515	0.1208	0.822	1	0.98685	0.8133	0.8063	0.71625
10	4778	1.80787	0.0789072	0.30355	0.62915	0.18	1	1	1	1	0	0.1206	0.1788	1	1	0.1517	0.1512	0.1415
10	4791	2.70393	0.20976	0.20855	0.20335	0.1137	0.99995	1	0.108	0.09605	0.2078	0.2108	0.0623	0.99995	0.02365	0.0142	0.01335	0.0075
10	4970	2.6446	0.0911797	1	1	1	0.1445	0.01025	0.3711	0.06475	0	0.0011	1	0.00035	5e-05	1	0.00035	0
11	56	4.56066	0.121016	0.1529	0.14075	0.3492	0.0053	0.48355	1	1	0	0	0.01555	0	1	0	0	0
11	151	3.89411	0.105271	1	1	1	0	0	0.00015	0.00015	0	0	1	0	0	1	0	0
11	1201	1.83326	0.200206	0.53535	0.5376	0.4864	0.39945	0.25115	0.29785	0.29385	0.0426	0.0253	0.4786	0.1915	0.21445	0.4315	0.1657	0.1108
11	1553	2.51388	0.200473	0.15235	0.14695	0.0502	0.0156	0.08305	1	1	1e-04	5e-05	0.05295	0.00015	1	0	0	0
11	1848	2.35305	0.244722	0.99975	0.9997	0.9997	0.0309	0.17475	0.0599	0.1701	1e-04	5e-05	0.9997	0.00045	5e-05	0.9997	4e-04	0
11	1858	1.0986	0.0527421	0.16815	0.158	0.09085	1	1	0.0775	0.06975	8e-04	0.0609	0.0556	0.9944	0.025	0.03225	0.0306	0.01505
11	1898	1.88618	0.117949	0.6511	0.64925	0.506	1	1	1	1	0.0848	0.4163	0.4732	1	1	0.14075	0.139	0.12555
11	2322	2.48081	0.245346	0.09775	0.08475	0.02215	0.00455	3e-04	1	1	0	0	0.0199	0	1	5e-05	0	0
11	2444	2.76688	0.140901	0.166	0.1657	0.08455	0.9613	0.1391	0.0733	0.0686	0.0013	0.03105	0.055	0.12425	0.001	0.00505	0.0036	4e-04
11	2925	2.39245	0.198626	0.10535	0.09565	0.03835	0.01355	0.0019	1	1	5e-05	3e-04	0.0126	0	1	0	0	0
