No.	ID	loglik_Null_W	loglik_Acc_W	loglik_Full_W	logBF1	logBF2	loglik_Max_M0	loglik_Max_M1	loglik_Max_M2
6	22	-626.47563	-591.5788	-598.62901	34.896824	7.050211	-614.73666	-586.26157	-586.21656
6	23	-605.31172	-578.12311	-584.97218	27.188606	6.8490677	-593.88708	-572.10276	-572.09264
6	24	-412.23107	-412.70895	-412.79322	-0.47787725	0.084273206	-408.17109	-404.03876	-401.1517
6	25	-471.05805	-455.73993	-461.95544	15.318125	6.2155101	-459.79829	-444.51393	-444.51347
6	26	-524.74763	-505.37495	-510.44135	19.372674	5.0663944	-513.60918	-495.23775	-495.23459
6	27	-513.89327	-496.17758	-502.85809	17.715694	6.6805173	-502.21145	-488.48049	-488.53704
6	28	-459.87503	-453.12234	-455.33397	6.7526845	2.2116291	-449.53552	-441.354	-441.61927
6	29	-565.34174	-529.48436	-535.66565	35.857378	6.1812936	-553.27006	-523.53476	-523.52627
6	30	-491.8391	-480.24185	-486.45161	11.597251	6.2097527	-480.51721	-472.99033	-472.92192
6	31	-449.35647	-434.60759	-440.53716	14.74888	5.9295759	-437.98756	-427.42953	-427.39399
6	32	-709.7718	-664.50855	-669.88734	45.263257	5.3787967	-696.87692	-656.4709	-653.86828
6	33	-462.13991	-445.82137	-452.36726	16.318536	6.5458811	-450.68262	-440.56579	-440.58478
6	34	-392.50625	-383.1632	-390.35028	9.34305	7.187082	-380.41212	-376.22713	-376.22849
6	35	-716.71099	-655.77149	-662.90373	60.939494	7.1322356	-705.21714	-650.20143	-650.21356
6	36	-679.39563	-657.64146	-658.70472	21.754173	1.0632587	-666.02846	-647.7512	-643.22718
6	37	-684.43266	-662.53982	-665.77189	21.892847	3.2320767	-674.24445	-656.49975	-654.03012
6	38	-387.25926	-375.8166	-380.42557	11.442656	4.6089737	-375.77917	-364.93542	-364.88971
6	39	-660.40908	-612.3472	-620.07965	48.061876	7.7324409	-648.53255	-602.14085	-602.019
6	40	-534.39672	-524.66934	-527.67616	9.7273813	3.0068191	-522.39574	-512.91755	-512.63267
6	41	-539.10467	-512.76042	-519.95693	26.344245	7.1965037	-528.14876	-507.27159	-507.3369
6	42	-551.29336	-537.41032	-542.24491	13.883044	4.8345855	-539.46089	-525.67702	-525.6837
6	43	-622.1239	-594.02648	-601.62145	28.097419	7.5949696	-610.48483	-588.69837	-588.69669
6	44	-547.56639	-533.04892	-539.70799	14.517466	6.6590681	-536.34826	-525.83207	-525.53479
6	45	-435.62994	-423.4093	-426.37503	12.220638	2.9657322	-424.12902	-415.24892	-410.96991
6	46	-589.65932	-569.96875	-575.32112	19.690574	5.3523731	-577.87336	-557.01069	-557.00609
6	47	-460.01357	-450.66067	-455.08498	9.3528985	4.4243123	-448.62737	-442.80873	-442.41792
6	48	-541.25366	-513.47722	-519.18968	27.776444	5.7124676	-529.49545	-503.27461	-503.23837
6	49	-729.39701	-675.37072	-681.28231	54.026284	5.9115926	-716.28536	-663.24713	-663.20326
6	50	-649.21123	-603.89123	-610.36062	45.319999	6.4693866	-637.31332	-598.25281	-598.24717
6	51	-474.06724	-448.89156	-455.43907	25.175683	6.5475178	-462.25232	-439.79025	-439.79364
6	52	-712.31793	-649.98654	-658.17897	62.331385	8.1924321	-701.08359	-641.79266	-641.79654
6	53	-541.06747	-523.98845	-526.80295	17.079014	2.8144972	-529.08272	-516.96635	-514.95769
6	54	-709.9051	-644.16227	-653.10318	65.74283	8.9409095	-698.4665	-635.22064	-635.22151
6	55	-580.02589	-531.42057	-538.69441	48.605316	7.2738368	-569.04224	-527.28432	-527.28539
6	56	-630.89768	-605.59758	-603.14612	25.300103	-2.4514606	-617.85424	-599.33936	-589.82484
6	57	-515.33542	-495.87522	-501.86658	19.460197	5.9913623	-503.28699	-481.93339	-481.93827
6	58	-471.60974	-461.03358	-467.60877	10.576162	6.5751911	-458.79509	-455.06275	-455.33897
6	59	-562.90089	-525.5393	-532.68112	37.361592	7.1418163	-550.96816	-515.75429	-515.75301
6	60	-553.45351	-529.92502	-536.62743	23.528485	6.7024091	-541.84436	-524.34321	-524.34939
6	61	-626.00402	-587.45516	-594.34908	38.548857	6.8939183	-612.42335	-581.94896	-581.94798
6	62	-477.58609	-461.16725	-467.75131	16.418837	6.5840567	-465.79796	-454.60992	-454.55897
6	63	-547.07555	-517.51259	-525.40366	29.562955	7.8910706	-535.01044	-512.32168	-512.31633
6	64	-547.8283	-529.34089	-536.19261	18.487409	6.8517182	-536.4628	-523.63579	-523.67744
6	65	-547.30438	-520.96874	-520.63638	26.335647	-0.3323517	-534.0575	-515.01723	-507.65765
6	66	-494.2046	-468.09641	-474.46274	26.108187	6.3663275	-483.13815	-460.20705	-460.19783
6	67	-472.37861	-453.07817	-460.55183	19.300443	7.4736619	-461.43189	-444.264	-444.27643
6	68	-710.4691	-656.76625	-664.50886	53.702858	7.7426086	-698.14526	-650.89467	-650.88456
6	69	-531.05683	-508.92637	-515.5727	22.130457	6.6463319	-519.64448	-498.37794	-498.38612
6	70	-435.02721	-427.37121	-432.42975	7.6560061	5.0585435	-423.36785	-422.00787	-422.05148
6	71	-556.68201	-525.02693	-532.49616	31.655084	7.4692325	-545.73305	-519.75898	-519.74558
6	72	-443.2743	-427.03921	-434.06171	16.235094	7.0225071	-432.28547	-422.44384	-422.46165
6	73	-650.60985	-617.08052	-624.07814	33.529322	6.997615	-639.54914	-606.92571	-606.93046
6	74	-460.26137	-439.36018	-446.07084	20.901186	6.7106607	-449.19036	-434.27736	-434.27874
6	75	-622.96739	-612.0227	-614.64491	10.944691	2.6222126	-615.09624	-606.04011	-602.88403
6	76	-571.47926	-528.08857	-534.62901	43.390683	6.5404401	-559.80412	-522.3259	-522.30045
6	77	-697.75631	-656.3611	-666.35717	41.395209	9.9960675	-686.73076	-650.56546	-650.27896
6	78	-676.9813	-626.90172	-634.50589	50.07958	7.6041676	-665.31881	-616.21013	-616.1398
6	79	-576.56101	-553.32928	-559.68357	23.23173	6.3542836	-565.13439	-546.64883	-546.77154
6	80	-659.53435	-616.84553	-623.63095	42.688825	6.7854262	-648.0208	-606.84754	-606.84693
6	81	-688.66727	-646.71087	-652.45191	41.956407	5.7410457	-676.18621	-636.99531	-635.31733
6	82	-491.12395	-474.72837	-481.13716	16.395582	6.4087961	-479.35123	-469.19169	-469.11082
6	83	-567.93047	-544.3533	-550.51113	23.577172	6.1578278	-556.31652	-534.80731	-534.80518
6	84	-394.11934	-384.60238	-390.98815	9.5169567	6.385767	-383.56188	-379.68018	-379.61213
6	85	-420.61203	-408.18199	-412.79544	12.430041	4.6134412	-409.84329	-400.48734	-400.5166
6	86	-522.1962	-506.25137	-512.31088	15.944828	6.0595112	-509.7326	-500.94208	-500.93913
6	87	-710.75733	-668.51621	-674.84575	42.241116	6.3295338	-699.36551	-661.68287	-661.80695
6	88	-629.91773	-587.78915	-594.60649	42.128573	6.8173404	-618.44879	-577.29114	-577.29333
6	89	-478.53626	-471.41682	-476.83169	7.1194365	5.4148715	-468.82192	-463.29319	-463.35852
6	90	-703.02944	-647.83959	-655.33967	55.189848	7.5000757	-691.40878	-641.70015	-641.63793
6	91	-497.18712	-486.19962	-492.96674	10.987491	6.767118	-486.04077	-480.71687	-480.71865
6	92	-505.92789	-483.5492	-490.78451	22.378697	7.2353166	-493.7276	-478.22861	-478.23291
6	93	-576.73744	-541.35112	-548.24276	35.386321	6.8916432	-565.46482	-533.81342	-533.81824
6	94	-533.10035	-503.87336	-510.22303	29.22699	6.3496702	-521.53634	-496.93261	-496.9366
6	95	-499.4636	-486.07609	-489.58368	13.387505	3.5075881	-486.09959	-479.68488	-479.6766
6	96	-494.89385	-471.34522	-477.0872	23.548629	5.7419863	-483.93519	-459.51501	-459.49989
6	97	-534.34196	-524.25408	-528.29721	10.087875	4.04313	-522.3919	-516.74817	-516.9245
6	98	-466.82651	-452.63446	-458.96165	14.192051	6.3271937	-455.68965	-443.49149	-443.48925
6	99	-657.29663	-621.51646	-627.60648	35.780169	6.0900182	-643.61406	-610.76928	-610.7651
8	0	-511.78254	-495.48588	-499.76138	16.296662	4.2755047	-501.17151	-488.54515	-486.57383
8	1	-486.84403	-470.27782	-474.84438	16.56621	4.5665686	-474.53791	-463.85925	-458.9073
8	2	-474.29969	-467.65861	-468.52687	6.6410726	0.86825727	-461.86068	-461.83553	-451.69859
8	3	-428.3304	-404.40164	-411.46752	23.928756	7.0658792	-414.48534	-400.08828	-400.09236
8	4	-332.01653	-314.92677	-321.92733	17.089757	7.0005567	-319.2886	-309.27456	-309.2744
8	5	-539.58361	-501.4372	-508.82756	38.146405	7.3903599	-526.24935	-493.22144	-492.86368
8	6	-467.31332	-457.86017	-462.90029	9.4531446	5.0401234	-455.46113	-453.58483	-450.61246
8	7	-443.12714	-417.88649	-424.8421	25.240645	6.9556123	-429.72343	-413.59723	-413.59567
8	8	-435.19788	-416.04313	-423.12839	19.154752	7.0852623	-422.55152	-409.94633	-409.98403
8	9	-437.89701	-413.52974	-420.8685	24.367268	7.3387602	-425.02359	-409.64961	-409.64984
