No.	prop	genetree
0	0.0792857	((galGal:0.170124,(halLeu:0.0578913,nipNip:0.0559222):0.0414696):0.0406841,((((aptRow:0.0068799,(aptHaa:0.0016923,aptOwe:0.00193915):0.00552045):0.0252606,(casCas:0.0142838,droNov:0.0164709):0.0249256):0.00275958,(rheAme:0.0103597,rhePen:0.0109996):0.05116):0.022886,(strCam:0.0558737,(anoDid:0.0709049,((cryCin:0.055173,tinGut:0.046936):0.058441,(eudEle:0.100437,notPer:0.107995):0.0223728):0.0395273):0.0200876):0.0048551):0.0354246);
0	0.0735714	((galGal:0.170124,(halLeu:0.0578913,nipNip:0.0559222):0.0414696):0.0406841,((strCam:0.0549874,(anoDid:0.0816919,(((aptRow:0.0068799,(aptHaa:0.0016923,aptOwe:0.00193915):0.00552045):0.0252606,(casCas:0.0142838,droNov:0.0164709):0.0249256):0.00275958,(rheAme:0.0103597,rhePen:0.0109996):0.05116):0.0087303):0.00841431):0.00551873,((cryCin:0.0533898,tinGut:0.0451528):0.0989566,(eudEle:0.131433,notPer:0.138991):0.0301095):0.025515):0.0356472);
0	0.0657143	((galGal:0.170124,(halLeu:0.0578913,nipNip:0.0559222):0.0414696):0.0406841,(strCam:0.0598811,(anoDid:0.0889085,((((aptRow:0.0068799,(aptHaa:0.0016923,aptOwe:0.00193915):0.00552045):0.0252606,(casCas:0.0142838,droNov:0.0164709):0.0249256):0.00275958,(rheAme:0.0103597,rhePen:0.0109996):0.05116):0.00968832,((cryCin:0.0619451,tinGut:0.0537081):0.0585668,(eudEle:0.109032,notPer:0.11659):0.020676):0.0443746):0.00625861):0.00609142):0.0362722);
0	0.0542857	((galGal:0.170124,(halLeu:0.0578913,nipNip:0.0559222):0.0414696):0.0406841,((strCam:0.0537884,(((aptRow:0.0068799,(aptHaa:0.0016923,aptOwe:0.00193915):0.00552045):0.0252606,(casCas:0.0142838,droNov:0.0164709):0.0249256):0.00275958,(rheAme:0.0103597,rhePen:0.0109996):0.05116):0.0159456):0.0031631,(anoDid:0.0665048,((cryCin:0.0548153,tinGut:0.0465783):0.0545125,(eudEle:0.09768,notPer:0.105238):0.0208437):0.0394135):0.0255655):0.0392018);
43	0.00714286	(((halLeu:0.150088,nipNip:0.148119):0.0322514,(galGal:0.223376,((((droNov:0.0455122,(aptHaa:0.0296635,aptRow:0.0293307):0.00692558):0.0104689,(notPer:0.166504,anoDid:0.0675137):0.017273):0.0108026,(strCam:0.0574048,(aptOwe:0.0428725,rheAme:0.0689124):0.0121693):0.00306566):0.0144153,(casCas:0.0600846,rhePen:0.0802753):0.0189273):0.0338354):0.029727):0.033465,(eudEle:0.14547,(cryCin:0.0956445,tinGut:0.0874075):0.0406294):0.152994);
43	0.007	(((halLeu:0.161355,nipNip:0.159386):0.0293023,(galGal:0.226462,(((aptHaa:0.0517173,(aptOwe:0.0427597,rheAme:0.0687996):0.00920448):0.00657615,(droNov:0.0591838,(notPer:0.174861,anoDid:0.0758706):0.0121188):0.00803273):0.0149889,(strCam:0.0606367,(aptRow:0.0452921,(casCas:0.0430467,rhePen:0.0632374):0.00931421):0.0124019):0.0152556):0.0359151):0.0349586):0.0251656,(eudEle:0.164919,(cryCin:0.0766058,tinGut:0.0683688):0.0791178):0.133563);
43	0.00557143	(((galGal:0.199659,(halLeu:0.105,nipNip:0.10303):0.0238966):0.0168276,(((aptRow:0.057215,((aptHaa:0.0401272,droNov:0.0490503):0.0136445,(strCam:0.0525089,(notPer:0.165305,anoDid:0.0663145):0.0213132):0.00387271):0.00377604):0.00419069,(aptOwe:0.0478778,rheAme:0.0739178):0.0141075):0.0143604,(casCas:0.0593834,rhePen:0.079574):0.0234515):0.0231235):0.0437063,(eudEle:0.110258,(cryCin:0.0586531,tinGut:0.0504161):0.0424087):0.161832);
43	0.00457143	(((halLeu:0.169916,nipNip:0.167946):0.0235174,(galGal:0.225261,(strCam:0.0811726,(((aptHaa:0.031687,aptRow:0.0313542):0.0285242,(anoDid:0.0918941,(droNov:0.0563006,(casCas:0.0440884,rhePen:0.064279):0.010025):0.00678806):0.00604568):0.0105474,(notPer:0.192204,(aptOwe:0.0397118,rheAme:0.0657517):0.0160198):0.0152739):0.0078041):0.0294335):0.0389352):0.0173782,(eudEle:0.143627,(cryCin:0.0574407,tinGut:0.0492037):0.0769902):0.149844);
43	0.00442857	(((halLeu:0.131572,nipNip:0.129603):0.0360724,(galGal:0.217459,(((aptHaa:0.054674,(aptRow:0.051002,(casCas:0.0427445,rhePen:0.0629351):0.0153264):0.00333919):0.00242712,(strCam:0.0551401,(droNov:0.0543051,(notPer:0.161676,anoDid:0.0626863):0.0204243):0.00714833):0.00457084):0.0248884,(aptOwe:0.0633883,rheAme:0.0894282):0.0188481):0.018205):0.0209485):0.00497857,(eudEle:0.117726,(cryCin:0.0683812,tinGut:0.0601442):0.0401492):0.137556);
43	0.00442857	((galGal:0.231675,((halLeu:0.126493,nipNip:0.124524):0.0218933,((((aptHaa:0.0368228,aptRow:0.0364899):0.0156852,(droNov:0.0519395,(notPer:0.171152,anoDid:0.0721623):0.00858268):0.00949165):0.00750783,(strCam:0.0586809,(casCas:0.0459522,rhePen:0.0661429):0.0168549):0.00394476):0.00520141,(aptOwe:0.0519258,rheAme:0.0779657):0.0135383):0.0366675):0.0125256):0.0741092,(eudEle:0.144912,(cryCin:0.0748567,tinGut:0.0666197):0.0608596):0.172768);
58	0.2	((galGal:0.170124,(halLeu:0.0578913,nipNip:0.0559222):0.0414696):0.0406841,((strCam:0.0554505,((((aptRow:0.0068799,(aptHaa:0.0016923,aptOwe:0.00193915):0.00552045):0.0252606,(casCas:0.0142838,droNov:0.0164709):0.0249256):0.00275958,(rheAme:0.0103597,rhePen:0.0109996):0.05116):0.01064,(notPer:0.160552,(cryCin:0.109153,tinGut:0.100916):0.0346453):0.0220397):0.00696777):0.0334178,(eudEle:0.163121,anoDid:0.0716889):0.0522982):0.00728499);
58	0.0878571	(((galGal:0.170124,(halLeu:0.0578913,nipNip:0.0559222):0.0414696):0.038027,(eudEle:0.180849,anoDid:0.0894168):0.0391982):0.0026571,(strCam:0.0568153,((((aptRow:0.0068799,(aptHaa:0.0016923,aptOwe:0.00193915):0.00552045):0.0252606,(casCas:0.0142838,droNov:0.0164709):0.0249256):0.00275958,(rheAme:0.0103597,rhePen:0.0109996):0.05116):0.00875896,(notPer:0.155677,(cryCin:0.105048,tinGut:0.0968114):0.0338753):0.0250334):0.0102136):0.039338);
58	0.085	((galGal:0.170124,(halLeu:0.0578913,nipNip:0.0559222):0.0414696):0.0406841,((strCam:0.0565472,((notPer:0.179756,(((aptRow:0.0068799,(aptHaa:0.0016923,aptOwe:0.00193915):0.00552045):0.0252606,(casCas:0.0142838,droNov:0.0164709):0.0249256):0.00275958,(rheAme:0.0103597,rhePen:0.0109996):0.05116):0.00780408):0.00673274,(cryCin:0.143355,tinGut:0.135118):0.0263795):0.00416761):0.0342468,(eudEle:0.172521,anoDid:0.081089):0.0448238):0.0053593);
58	0.0528571	((galGal:0.170124,(halLeu:0.0578913,nipNip:0.0559222):0.0414696):0.0406841,((strCam:0.0550086,(notPer:0.186039,((((aptRow:0.0068799,(aptHaa:0.0016923,aptOwe:0.00193915):0.00552045):0.0252606,(casCas:0.0142838,droNov:0.0164709):0.0249256):0.00275958,(rheAme:0.0103597,rhePen:0.0109996):0.05116):0.00662875,(cryCin:0.142419,tinGut:0.134182):0.0194074):0.00745808):0.003079):0.0348883,(eudEle:0.161288,anoDid:0.0698557):0.05516):0.0062564);
58	0.0485714	((galGal:0.170124,(halLeu:0.0578913,nipNip:0.0559222):0.0414696):0.0406841,(((((aptRow:0.0068799,(aptHaa:0.0016923,aptOwe:0.00193915):0.00552045):0.0252606,(casCas:0.0142838,droNov:0.0164709):0.0249256):0.00275958,(rheAme:0.0103597,rhePen:0.0109996):0.05116):0.018717,(strCam:0.0534307,(notPer:0.143943,(cryCin:0.102654,tinGut:0.0944165):0.0245358):0.0435967):0.00312904):0.0327766,(eudEle:0.164014,anoDid:0.072582):0.0518731):0.00681697);
24	0.0834286	(rhePen:0.286318,((galGal:0.280273,(halLeu:0.199924,(nipNip:0.140673,((rheAme:0.0824238,(cryCin:0.165101,(casCas:0.0257431,droNov:0.0279302):0.0261292):0.0110007):0.0139408,(anoDid:0.0843088,(eudEle:0.101959,notPer:0.109517):0.0737824):0.0234977):0.0260632):0.0572813):0.00958618):0.0452528,((aptHaa:0.0668501,aptOwe:0.067097):0.0214587,(aptRow:0.0641277,(tinGut:0.164231,strCam:0.0551128):0.0119575):0.0238483):0.119952):0.0511302);
24	0.0555714	(rhePen:0.253448,((galGal:0.275601,(halLeu:0.195324,(nipNip:0.142724,(rheAme:0.100877,((cryCin:0.165652,(casCas:0.0264729,droNov:0.02866):0.0259504):0.0136261,(anoDid:0.075289,(eudEle:0.0942934,notPer:0.101851):0.072428):0.021753):0.0152763):0.0236022):0.0506306):0.00951392):0.0348913,((aptHaa:0.0639556,aptOwe:0.0642024):0.0150024,(aptRow:0.061371,(tinGut:0.163623,strCam:0.0545049):0.00980887):0.0172541):0.11427):0.0332932);
24	0.0428571	(rhePen:0.25729,((galGal:0.270376,(halLeu:0.195464,(nipNip:0.142243,((rheAme:0.0865464,(cryCin:0.168016,(casCas:0.0269525,droNov:0.0291396):0.0278342):0.012209):0.0130361,(anoDid:0.0894525,(eudEle:0.108439,notPer:0.115997):0.0724454):0.0215719):0.0244154):0.0512514):0.00414895):0.0455502,(aptRow:0.0730724,((aptHaa:0.0443849,aptOwe:0.0446318):0.0164321,(tinGut:0.163546,strCam:0.0544279):0.00899896):0.0125882):0.125256):0.0317015);
24	0.0394286	(rhePen:0.281636,((galGal:0.29287,(halLeu:0.212954,(nipNip:0.14157,(cryCin:0.195004,((rheAme:0.0803032,(casCas:0.0286558,droNov:0.0308429):0.0320966):0.00538653,(anoDid:0.0734831,(eudEle:0.0895879,notPer:0.0971457):0.0753275):0.0236485):0.0156359):0.0219992):0.0694145):0.00915301):0.0461543,(aptRow:0.0807853,((aptHaa:0.0538448,aptOwe:0.0540917):0.0155382,(tinGut:0.165465,strCam:0.0563467):0.0156461):0.0117351):0.140642):0.03295);
24	0.0317143	(rhePen:0.249256,((galGal:0.267821,(halLeu:0.189162,(nipNip:0.142559,(rheAme:0.10333,((cryCin:0.164923,(casCas:0.0270999,droNov:0.029287):0.0245938):0.0155214,(anoDid:0.0747644,(eudEle:0.10359,notPer:0.111147):0.0626072):0.0234434):0.0165641):0.0209835):0.0446339):0.00789589):0.0388698,(aptRow:0.0793511,((aptHaa:0.048555,aptOwe:0.0488018):0.0156689,(tinGut:0.163913,strCam:0.0547944):0.0120393):0.0154601):0.109742):0.0329034);
35	0.00628571	(((galGal:0.195276,(halLeu:0.115218,nipNip:0.113249):0.00929504):0.0169006,(((aptHaa:0.0581019,eudEle:0.187263):0.00746384,(aptRow:0.0566152,(notPer:0.130999,(cryCin:0.0784426,tinGut:0.0702056):0.0358032):0.0626674):0.00861765):0.00678203,(anoDid:0.0945064,(strCam:0.0546624,(casCas:0.0386191,droNov:0.0408062):0.0201695):0.00472514):0.01557):0.0225647):0.0123279,(aptOwe:0.0768515,(rheAme:0.0933064,rhePen:0.0939463):0.00958496):0.0306358);
35	0.00442857	((galGal:0.215827,(halLeu:0.129004,nipNip:0.127035):0.0160601):0.00767968,((aptHaa:0.0664049,((aptRow:0.0487282,droNov:0.0579841):0.0107725,(strCam:0.0581278,(casCas:0.0528497,(anoDid:0.0649333,(eudEle:0.130529,(notPer:0.101954,(cryCin:0.0652429,tinGut:0.0570059):0.0199576):0.0361327):0.0258365):0.018909):0.00940425):0.00431562):0.0065714):0.0124314,(aptOwe:0.0573828,(rheAme:0.0706346,rhePen:0.0712744):0.0127882):0.0217003):0.0274062);
35	0.00428571	((galGal:0.204153,(halLeu:0.0942199,nipNip:0.0922507):0.0391702):0.0105315,(((strCam:0.059047,((aptHaa:0.0438605,aptRow:0.0435277):0.00544494,(eudEle:0.161378,(cryCin:0.112006,(tinGut:0.0748345,notPer:0.0998252):0.0289342):0.0401766):0.0170882):0.00713175):0.00273078,(anoDid:0.0890399,(casCas:0.0356714,droNov:0.0378585):0.0223759):0.00785669):0.0284479,(aptOwe:0.0730494,(rheAme:0.0928613,rhePen:0.0935012):0.00622804):0.0148133):0.00980407);
35	0.00428571	((galGal:0.201815,(halLeu:0.120165,nipNip:0.118196):0.010887):0.0444742,((strCam:0.0670005,(((aptHaa:0.0487959,casCas:0.0555319):0.00462242,(eudEle:0.170353,(anoDid:0.0570192,(cryCin:0.0960483,(tinGut:0.0748266,notPer:0.0998173):0.0129848):0.0432073):0.0219018):0.012226):0.00727933,(aptRow:0.0540437,droNov:0.0632997):0.00632113):0.00369299):0.0161423,(aptOwe:0.0592617,(rheAme:0.0539841,rhePen:0.054624):0.0313175):0.0215181):0.0484917);
35	0.00428571	((galGal:0.216224,(nipNip:0.137989,(halLeu:0.136811,((aptRow:0.0650938,((aptHaa:0.0483206,eudEle:0.177482):0.0118639,(cryCin:0.136268,(tinGut:0.0812918,notPer:0.106282):0.0467391):0.0438818):0.00524215):0.00855261,(strCam:0.0605391,(anoDid:0.0879617,(casCas:0.0232121,droNov:0.0253992):0.033757):0.00769624):0.01605):0.01633):0.00314724):0.00550323):0.015882,(aptOwe:0.0826742,(rheAme:0.0914529,rhePen:0.0920927):0.0172612):0.0324145);
59	0.00742857	(((galGal:0.193597,(halLeu:0.102711,nipNip:0.100742):0.0201237):0.0741238,((casCas:0.0265215,droNov:0.0287086):0.020781,(anoDid:0.0609803,(notPer:0.0917143,(cryCin:0.0622843,tinGut:0.0540473):0.0126763):0.0682562):0.0173149):0.10989):0.0334023,(rhePen:0.117277,(((aptHaa:0.00209257,aptOwe:0.00233942):0.061628,(eudEle:0.180628,strCam:0.0540771):0.0122533):0.00990492,(aptRow:0.057158,rheAme:0.0837776):0.0161346):0.0167245):0.0935093);
59	0.00671429	((galGal:0.216404,(halLeu:0.141391,nipNip:0.139422):0.00425094):0.072401,((rhePen:0.131472,(((aptHaa:0.00278531,aptOwe:0.00303216):0.0575401,(eudEle:0.181863,strCam:0.0553116):0.00762369):0.0124113,(aptRow:0.0483296,rheAme:0.0749492):0.0240743):0.0318082):0.0419974,((casCas:0.0232802,droNov:0.0254673):0.0276373,(anoDid:0.0605259,(cryCin:0.112147,(tinGut:0.086179,notPer:0.11117):0.0177314):0.030615):0.0213842):0.102361):0.0249987);
59	0.00642857	((galGal:0.231998,(halLeu:0.124383,nipNip:0.122413):0.0368526):0.0767531,((rhePen:0.12426,((eudEle:0.187446,(strCam:0.0558963,(aptHaa:0.00287043,aptOwe:0.00311728):0.0504161):0.00499857):0.00586082,(aptRow:0.0504967,rheAme:0.0771163):0.0133164):0.033187):0.0378301,((casCas:0.0220152,droNov:0.0242023):0.0277415,(anoDid:0.0683996,(cryCin:0.122484,(tinGut:0.0860727,notPer:0.111063):0.0281748):0.0281516):0.0123498):0.0921423):0.0563237);
59	0.006	((galGal:0.234144,(halLeu:0.131081,nipNip:0.129112):0.0323003):0.0457291,((rhePen:0.107144,((strCam:0.0589073,(eudEle:0.179192,(aptHaa:0.00475316,aptOwe:0.00500001):0.0452776):0.00626674):0.0096403,(aptRow:0.0523769,rheAme:0.0789966):0.013228):0.01428):0.0279367,((casCas:0.0343404,droNov:0.0365275):0.0165586,(anoDid:0.0664156,(cryCin:0.120344,(tinGut:0.0843631,notPer:0.109354):0.0277437):0.0283083):0.015476):0.0639914):0.0544545);
59	0.00528571	((galGal:0.17716,(halLeu:0.0868196,nipNip:0.0848505):0.0195772):0.0394113,((rheAme:0.0879655,((aptRow:0.054666,(rhePen:0.0780573,(aptHaa:0.00511493,aptOwe:0.00536178):0.0460158):0.00386813):0.00215628,(eudEle:0.181806,strCam:0.0552552):0.00450973):0.00452359):0.018114,((casCas:0.0248042,droNov:0.0269913):0.0349553,(anoDid:0.0563522,(cryCin:0.10114,(tinGut:0.0718332,notPer:0.0968239):0.02107):0.0374486):0.0343999):0.0267692):0.0195138);
