No.	prop	genetree
35	0.0584	((galGal:0.183122,(halLeu:0.07334,nipNip:0.0713708):0.0390194):0.0266632,((strCam:0.0545598,(anoDid:0.0832317,(aptOwe:0.0251156,(aptHaa:0.00971552,aptRow:0.00938267):0.0151532):0.0206343):0.00644695):0.00654945,((casCas:0.0438795,droNov:0.0460666):0.0155563,((rheAme:0.0260628,rhePen:0.0267027):0.0462299,((cryCin:0.0778373,eudEle:0.0870332):0.0482303,(tinGut:0.0676986,notPer:0.0926893):0.050132):0.0399034):0.00669382):0.00579974):0.0340216);
35	0.0542667	((galGal:0.185016,(halLeu:0.0719544,nipNip:0.0699853):0.0422991):0.025674,(((strCam:0.0527968,(anoDid:0.0815858,(aptOwe:0.0231834,(aptHaa:0.0105413,aptRow:0.0102084):0.0123953):0.0209206):0.00632979):0.00442449,((rheAme:0.0247692,rhePen:0.025409):0.0480289,((cryCin:0.0793185,eudEle:0.0885144):0.0522379,(tinGut:0.0686838,notPer:0.0936745):0.0546357):0.03492):0.00810017):0.00508116,(casCas:0.0501364,droNov:0.0523235):0.0162923):0.0337333);
35	0.0522667	((galGal:0.18007,(halLeu:0.0771039,nipNip:0.0751348):0.0322029):0.0325202,(((strCam:0.0524317,(anoDid:0.0809,(aptOwe:0.0232254,(aptHaa:0.0102899,aptRow:0.00995709):0.0126886):0.0201928):0.00665058):0.00315042,(casCas:0.0469792,droNov:0.0491663):0.0127291):0.00509075,((rheAme:0.024393,rhePen:0.0250329):0.0507223,((cryCin:0.0858797,eudEle:0.0950756):0.050059,(tinGut:0.069092,notPer:0.0940827):0.0586097):0.0328549):0.00923457):0.0372624);
35	0.0349333	((galGal:0.183221,(halLeu:0.0685511,nipNip:0.066582):0.0439074):0.0291998,(strCam:0.0677206,(((anoDid:0.0810572,(aptOwe:0.023366,(aptHaa:0.010483,aptRow:0.0101502):0.0126361):0.0202094):0.00769908,(casCas:0.0430112,droNov:0.0451983):0.0147524):0.00324268,((rheAme:0.0217008,rhePen:0.0223406):0.0497963,((cryCin:0.0802394,eudEle:0.0894353):0.049149,(tinGut:0.0674731,notPer:0.0924638):0.0536783):0.035787):0.00906005):0.0108404):0.0300461);
35	0.0294667	((galGal:0.181934,(halLeu:0.0716848,nipNip:0.0697157):0.0394861):0.0312113,((strCam:0.0540666,((anoDid:0.079628,(aptOwe:0.0222158,(aptHaa:0.0107482,aptRow:0.0104154):0.0112207):0.0199304):0.00707716,(casCas:0.0430838,droNov:0.0452709):0.0126287):0.00248031):0.00654746,((rheAme:0.0250402,rhePen:0.02568):0.0508055,((cryCin:0.0877686,eudEle:0.0969645):0.049358,(tinGut:0.0668321,notPer:0.0918228):0.0620575):0.0323973):0.00844542):0.0378764);
40	0.0708	((galGal:0.180018,(halLeu:0.0664019,nipNip:0.0644327):0.0428534):0.0350858,((strCam:0.0541255,((aptHaa:0.0214309,(aptOwe:0.00697964,aptRow:0.00639994):0.0146981):0.0269928,((casCas:0.0325738,droNov:0.0347609):0.0149856,(anoDid:0.0662973,(eudEle:0.121379,(notPer:0.0936092,(cryCin:0.0560944,tinGut:0.0478574):0.0207611):0.0353277):0.0363505):0.0122547):0.00760041):0.00309188):0.010956,(rheAme:0.0222357,rhePen:0.0228755):0.0665227):0.035368);
40	0.0278667	((galGal:0.180211,(halLeu:0.0710154,nipNip:0.0690463):0.0384329):0.0340559,(((strCam:0.0524015,(aptHaa:0.0219726,(aptOwe:0.00678297,aptRow:0.00620327):0.0154365):0.027819):0.00123845,((casCas:0.0333654,droNov:0.0355525):0.0143531,(anoDid:0.063231,(eudEle:0.12053,(notPer:0.095216,(cryCin:0.0544023,tinGut:0.0461653):0.02406):0.0328713):0.0341339):0.0154801):0.0100476):0.00889417,(rheAme:0.0184497,rhePen:0.0190896):0.0677613):0.0370784);
40	0.0268	((galGal:0.18633,(halLeu:0.0679901,nipNip:0.0660209):0.0475773):0.0297064,((strCam:0.0536904,(((aptHaa:0.0185046,(aptOwe:0.00577297,aptRow:0.00519327):0.0129784):0.0216401,(casCas:0.0319261,droNov:0.0341132):0.0149546):0.00558695,(anoDid:0.0662652,(eudEle:0.125027,(notPer:0.0961771,(cryCin:0.0563911,tinGut:0.0481541):0.0230323):0.0364075):0.0326708):0.0171951):0.0053489):0.00781478,(rheAme:0.022546,rhePen:0.0231859):0.0626361):0.0398769);
40	0.0257333	((galGal:0.182579,(halLeu:0.0637238,nipNip:0.0617547):0.0480921):0.0324378,(((aptHaa:0.0223978,(aptOwe:0.00596861,aptRow:0.00538891):0.016676):0.0292376,(strCam:0.0525958,((casCas:0.0283911,droNov:0.0305782):0.0200158,(anoDid:0.0665089,(eudEle:0.125773,(notPer:0.0954515,(cryCin:0.0553046,tinGut:0.0470676):0.0233932):0.0378796):0.032168):0.0128907):0.00831504):0.00164944):0.00959189,(rheAme:0.0188454,rhePen:0.0194852):0.0686687):0.0365249);
40	0.0205333	((galGal:0.178745,(halLeu:0.071028,nipNip:0.0690588):0.0369541):0.0383587,(((aptHaa:0.0224401,(aptOwe:0.00726078,aptRow:0.00668108):0.0154261):0.028835,(strCam:0.0525442,(casCas:0.0512088,(droNov:0.0487908,(anoDid:0.0658846,(eudEle:0.127387,(notPer:0.0950922,(cryCin:0.0539369,tinGut:0.0456999):0.0244016):0.0398522):0.0299304):0.0117117):0.00460511):0.00546162):0.00134071):0.00545631,(rheAme:0.0227371,rhePen:0.0233769):0.0602811):0.0431078);
