chr	No.	triMan1_3	lepWed1_3	odoRosDiv1_3	orcOrc1_3	turTru2_3	odoRosDiv1.lepWed1_3	turTru2.orcOrc1_3
3	48	0	0	0	1	0.385333	0	0
3	52	1	0.861167	0.446333	0.998667	0.999167	0.204333	0.995167
3	53	0.2485	0.180167	0.0756667	0.506667	1	0.022	0.4805
3	54	0.739333	0.748833	0.131667	1	1	0.0645	1
3	55	0.1895	0.1025	0.305167	0.999833	0.999667	0.0126667	0.999667
3	56	0.424833	0.0156667	0.2515	0.768833	0.935333	0.000666667	0.432333
3	57	0.0198333	0.356	0.0685	0.999	1	0.0166667	0.998667
3	58	0.999333	0.948167	0.5415	0.474667	0.456833	0.4225	0.191667
3	61	0.9935	0.607167	0.756333	0.413	0.397333	0.307167	0.0865
3	62	0.109333	0.237833	0.867833	0.255667	0.242333	0.188333	0.0701667
3	63	0.0668333	0.1395	0.9555	0.175667	0.164167	0.114	0.0165
3	64	0	0.0101667	1	0.216167	0.192833	0.006	0.000333333
3	65	5e-04	0.00383333	0.999167	0.0521667	0.0421667	0.00216667	0
3	68	0.966167	0.499667	0.253333	0.992833	0.987167	0.0911667	0.983833
3	69	0.995333	0.481333	0.570333	0.803833	0.6305	0.077	0.5065
3	70	0.985833	0.468333	0.3865	0.716833	0.724833	0.207667	0.561167
3	71	0.9915	0.229333	0.776167	0.3465	0.342	0.113	0.0283333
3	72	0.0248333	0.982833	0.998333	0.584833	0.5565	0.946167	0.0065
3	74	0.2515	0.181333	0.0638333	0.960167	1	0.0095	0.932833
3	75	0.00383333	0.653833	0.910833	0.995	0.995	0.4805	0.99
4	8	0.208333	0.846167	0.938167	0.998667	0.998333	0.648333	0.997833
4	9	0.0496667	0.520667	0.259833	0.642667	0.401333	0.14	0.282833
4	10	0.195833	0.667	0.939167	0.6865	0.820167	0.511667	0.569167
4	11	0.511333	0.947333	0.915167	0.9985	0.997833	0.884	0.997167
4	13	0.440667	0.971833	0.980333	0.3515	0.336833	0.951167	0.0361667
4	14	0.3335	0.9825	0.0538333	0.181	0.405667	0.0383333	0.00366667
4	15	0.0375	0.563167	0.3865	0.909833	0.956333	0.227333	0.892333
4	16	0.2525	0.210167	0.391667	0.941	0.974167	0.0658333	0.933
4	17	0	0	0	1	0.001	0	0
4	19	0	0.00116667	0	1	0.0213333	0	0
4	20	0.251667	0	0	1	0.000166667	0	0
4	21	0.2545	0	0	1	0.00216667	0	0
4	23	0.0771667	0.155833	0.142167	0.7265	0.897833	0.0688333	0.666167
4	24	0.0431667	0.9465	0.779167	0.980333	0.907167	0.509667	0.882333
4	26	0.2945	0.997167	0.161333	0.160167	0.143167	0.151333	0.00333333
4	27	0	0.002	0.0298333	1	1	0	1
4	28	0.00916667	0.0946667	0.0805	0.9985	0.996167	0.0175	0.995333
4	29	0	0	0	0.0321667	1	0	0
4	30	0.423333	0.0806667	0.152	0.9805	1	0.011	0.978833
4	33	0.170833	0.1295	0.181667	0.541167	0.978167	0.0516667	0.4945
4	34	0.258167	0.766167	0.913667	0.9485	0.752	0.585	0.471333
4	36	0.982	0.623	0.392167	0.999167	0.996667	0.2585	0.9935
4	38	0.975833	0.542333	0.6665	0.957167	0.687833	0.4465	0.5225
4	39	1	0.668	0.359333	0.302167	0.298667	0.132167	0.00866667
4	40	0.242833	0.154167	1	0.997667	0.997667	0.126667	0.996667
4	44	0	0.000333333	0.001	0.526833	0.523667	0	0.521167
4	46	0.999667	0.0661667	0.02	0.844	0.869333	0	0.793333
4	47	0.0708333	0.9995	0.0488333	0.172	0.556333	0.0328333	0.017
4	49	0.998667	0.276167	0.672333	0.7985	0.794667	0.135333	0.739833
4	50	0.376667	0.9105	0.994	0.9895	0.994	0.739833	0.983167
4	51	0.995833	0.296833	0.147333	0.515667	0.346333	0.047	0.177833
4	52	0.997667	0.165167	0.117333	0.966667	0.986	0.0065	0.956
4	53	0.0035	0.290833	0.622167	1	1	0.126833	1
4	54	0.995	0.1275	0.255667	0.849833	0.279	0.013	0.062
4	56	0.9405	0.906	0.442667	0.987167	0.988333	0.280833	0.983
4	57	0.675667	0.018	0.0191667	0.225833	0.999333	0.002	0.0893333
4	58	0.876667	0.5305	0.266667	0.999667	0.944	0.0973333	0.911
4	62	0.887667	0.711333	0.974167	1	1	0.552833	1
4	63	5e-04	0.0363333	0.0236667	1	1	0	1
4	64	0.518	0.0866667	0.088	0.913333	0.972	0.00816667	0.879
4	65	1	0.0481667	0.0108333	0.2255	0.219333	0.0015	0.082
4	66	1	0.111833	0.224167	0.709667	0.783833	0.0235	0.6195
5	0	0.382167	0.310833	0.778	0.803333	0.7975	0.186333	0.7485
5	1	0.0536667	0.734833	0.276667	0.712333	0.800333	0.156333	0.648167
5	2	0.166	0.653167	0.4525	0.901333	0.903333	0.280833	0.883333
5	3	0.995	0.214667	0.201667	0.964833	0.998667	0.007	0.951
5	4	0.289667	0.952	0.964	0.796667	0.6725	0.875833	0.492
5	6	0.987167	0.996833	0.9695	0.931667	0.933167	0.849667	0.884167
5	7	0.0623333	0.954333	0.98	0.61	0.794667	0.856667	0.434833
5	10	0.0866667	0.9725	0.979667	0.276333	0.263	0.955167	0.0165
5	11	0.1605	0.968667	0.87	0.432833	0.518	0.742667	0.192333
5	13	0.0123333	0.0931667	0.0235	1	1	0.00133333	1
5	14	0.0075	0.0255	0.0213333	1	0.999833	0.000333333	0.999833
5	15	0	0	0	0.009	0.00566667	0	0
5	16	0	0	0	0	1	0	0
5	17	0.0025	0.0933333	0.0315	0.9995	0.9995	0	0.999333
5	18	0.979	0.896833	0.939833	0.9955	0.993667	0.716333	0.985167
5	19	0.00883333	0.984667	0.310667	0.0998333	0.091	0.3075	5e-04
5	22	0.0531667	0.688	0.422833	0.876667	0.996833	0.181667	0.7845
5	23	0	0	0	0.00783333	1	0	0
5	25	0.875	0.675667	0.880167	0.605167	0.480167	0.494333	0.132667
5	26	0	0.000666667	5e-04	0.916167	0.0236667	0	0.000333333
5	27	0	0	0	1	0	0	0
5	28	0	0	0	1	0.000166667	0	0
5	29	0	0	0	1	0	0	0
5	30	0	0	0	1	0.00166667	0	0
5	31	5e-04	0.0288333	0.0953333	1	1	0.001	1
5	34	0	0	0	1	0	0	0
5	35	0.0355	0.0618333	0.0653333	0.703833	0.999833	0.008	0.400667
5	36	0.004	0.000666667	0.215167	0.848833	0.834833	0	0.832667
5	37	0.981833	0.979833	0.985667	0.7795	0.896833	0.8355	0.539333
5	38	0	0	0	1	0.0158333	0	0
5	39	0	0	0	1	0.677	0	0
5	42	0	0	0	0	1	0	0
5	43	0	0.258667	0.0025	1	1	0.000333333	1
5	45	0.991833	0.999667	0.734667	0.478667	0.696167	0.654833	0.0896667
5	46	0.000666667	0.03	0.0243333	0.8905	1	0.000166667	0.886
5	47	0.392167	0.2415	0.0896667	0.999667	0.999833	0.0101667	0.9995
5	48	0.00916667	0.168667	0.1425	0.999333	0.999	0.0095	0.999
